starID,gaiag,gaiag_e,gaiabp,gaiabp_e,gaiarp,gaiarp_e,tycho2bt,tycho2vt,tycho2bt_e,tycho2vt_e,hipparcos2hp,hipparcos2hp_e,apassv,apassv_e,apassb,apassb_e,apassg,apassg_e,apassr,apassr_e,apassi,apassi_e,sdssu,sdssg,sdssr,sdssi,sdssz,sdssu_e,sdssg_e,sdssr_e,sdssi_e,sdssz_e,wisew1,wisew1_e,wisew2,wisew2_e,wisew3,wisew3_e,wisew4,wisew4_e,twomassj,twomassj_e,twomassh,twomassh_e,twomassk,twomassk_e,panstarrsps1g,panstarrsps1g_e,panstarrsps1r,panstarrsps1r_e,panstarrsps1i,panstarrsps1i_e,panstarrsps1z,panstarrsps1z_e,panstarrsps1y,panstarrsps1y_e,skymapperu,skymapperu_e,skymapperv,skymapperv_e,skymapperg,skymapperg_e,skymapperr,skymapperr_e,skymapperi,skymapperi_e,skymapperz,skymapperz_e
6386468454774591744,7.2009,0.0202,7.7079,0.0202,6.5361,0.0204,8.8150,7.5770,0.0262,0.0224,7.6351,0.0200,,,,,,,,,,,,,,,,,,,,,5.0680,0.1993,4.9430,0.0987,5.0800,0.0340,5.0190,0.0417,5.7520,0.0283,5.2970,0.0566,5.1270,0.0336,,,,,,,,,,,,,,,,,,,,,,
5224124307320401024,7.5272,0.0202,8.0816,0.0202,6.8228,0.0204,9.2410,7.9410,0.0269,0.0228,7.9998,0.0200,,,,,,,,,,,,,,,,,,,,,5.1870,0.1993,5.0970,0.0689,5.2010,0.0331,5.1340,0.0397,5.9460,0.0283,5.4090,0.0429,5.2530,0.0328,,,,,,,,,,,,,,,,,,,,,,
4972969119657226368,6.3752,0.0202,6.9270,0.0202,5.6723,0.0204,8.1030,6.8100,0.0244,0.0224,6.8480,0.0200,6.8100,0.0600,7.7380,0.0600,,,,,6.1790,0.0600,,,,,,,,,,,4.0440,0.3583,3.6230,0.1815,4.0960,0.0335,4.0480,0.0391,4.9600,0.0421,4.3970,0.0786,4.1510,0.0412,,,,,,,,,,,,,,,,,,,,,,
4675576135153914368,5.5130,0.0202,6.0218,0.0202,4.8438,0.0204,7.1060,5.8960,0.0250,0.0219,5.9522,0.0200,6.1400,0.0600,6.8360,0.0600,6.9040,0.0600,5.9350,0.0600,5.1710,0.0600,,,,,,,,,,,2.6010,0.0900,3.0530,0.3573,3.4250,0.0327,3.3800,0.0366,4.4180,0.2967,3.7450,0.2468,3.7770,0.2388,,,,,,,,,,,,,,,,,,,,,,
4921421918602162688,5.7635,0.0202,6.2811,0.0202,5.0833,0.0204,7.3220,6.1630,0.0250,0.0224,6.2062,0.0200,6.3760,0.0600,7.0120,0.0600,7.1040,0.0600,6.1030,0.0600,5.4330,0.0600,,,,,,,,,,,3.5520,0.4360,3.3280,0.2816,3.5650,0.0335,3.5150,0.0384,4.2010,0.3186,3.6040,0.2428,3.5850,0.2508,,,,,,,,,,,,,,,,,,,,,,
2125795166969907968,10.7385,0.0202,11.0501,0.0202,10.2596,0.0204,11.6950,11.0080,0.0718,0.0661,,,10.8690,0.0636,11.4270,0.0690,11.0420,0.0662,10.7150,0.0828,10.6180,0.0643,,,,,,,,,,,9.3420,0.0378,9.3670,0.0355,9.3090,0.0410,8.8270,0.0900,9.6920,0.0276,9.4430,0.0262,9.3870,0.0244,,,,,,,,,,,,,,,,,,,,,,
2053106620753316352,12.2008,0.0202,12.6818,0.0202,11.5595,0.0204,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1420,0.0378,10.2080,0.0361,10.0470,0.0575,8.8680,0.0900,10.7940,0.0297,10.2860,0.0297,10.2070,0.0269,,,,,,,,,,,,,,,,,,,,,,
2076525844775760384,7.8337,0.0202,8.1452,0.0202,7.3519,0.0204,8.7720,8.0160,0.0262,0.0228,,,7.9700,0.0600,8.9500,0.0600,8.4180,0.0600,7.8420,0.0600,7.6610,0.0600,,,,,,,,,,,6.4550,0.0826,6.4610,0.0378,6.5010,0.0331,6.4500,0.0698,6.8030,0.0283,6.5620,0.0305,6.4910,0.0256,,,,,,,,,,,,,,,,,,,,,,
6357337753190592000,5.8652,0.0202,6.3683,0.0202,5.1973,0.0204,7.4130,6.2390,0.0250,0.0219,6.2974,0.0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6690,0.2249,3.9110,0.2488,3.8770,0.2867,,,,,,,,,,,,,,,,,,,,,,
2329865040473724160,6.2367,0.0202,6.7668,0.0203,5.5477,0.0204,7.8960,6.6460,0.0250,0.0224,6.6893,0.0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5240,0.1891,3.9030,0.1791,4.0200,0.0262,,,,,,,,,,,,,8.8378,0.0609,,,,,,,,
4759263813434301824,6.1010,0.0202,6.5217,0.0202,5.5070,0.0204,7.3670,6.4050,0.0250,0.0224,6.4678,0.0200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9160,0.0421,4.4750,0.2110,4.2920,0.0305,,,,,,,,,,,,,,,,,,,,,,
2106705269988803072,12.2974,0.0202,12.6549,0.0202,11.7782,0.0204,,,,,,,12.4810,0.0650,13.3130,0.0658,12.8830,0.0841,12.3030,0.0821,12.1300,0.0945,,,,,,,,,,,10.7820,0.0372,10.8430,0.0361,10.8540,0.0771,9.4980,0.0900,11.2100,0.0290,10.8670,0.0276,10.8010,0.0262,,,,,,,,,,,,,,,,,,,,,,
2135179533070399232,11.7749,0.0202,12.0462,0.0202,11.3386,0.0204,12.5680,11.8490,0.2259,0.1742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8140,0.0320,10.5770,0.0305,10.5350,0.0290,,,,,,,,,,,,,,,,,,,,,,
5062172841616745856,5.6148,0.0202,5.9405,0.0202,5.1160,0.0205,6.5680,5.8450,0.0244,0.0219,5.9086,0.0200,,,,,,,,,,,,,,,,,,,,,4.1000,0.3284,3.8680,0.1169,4.2580,0.0331,4.2040,0.0384,4.5960,0.2388,4.1850,0.2349,4.2460,0.0269,,,,,,,,,,,,,,,,,,,,,,
2086625752425381632,12.4556,0.0202,12.7937,0.0202,11.9540,0.0204,,,,,,,12.6390,0.0863,13.3300,0.1812,12.9240,0.1514,12.4420,0.1049,12.2740,0.1288,,,,,,,,,,,11.0280,0.0372,11.0900,0.0361,11.0760,0.0968,9.1980,0.0900,11.3920,0.0297,11.1140,0.0269,11.0600,0.0256,12.9630,0.1800,12.5740,0.1800,12.4130,0.1800,12.3360,0.1800,12.2656,0.0601,,,,,,,,,,,,
2051837651199491968,12.3857,0.0202,12.7536,0.0202,11.8032,0.0204,,,,,,,,,,,,,,,,,14.6425,12.9152,12.1182,12.1510,12.0620,0.0601,0.0602,0.0600,0.0610,0.0616,10.6730,0.0378,10.7440,0.0366,10.7570,0.0873,9.2430,0.0900,11.1510,0.0297,10.8080,0.0305,10.7200,0.0276,12.8950,0.1800,12.4180,0.1800,12.2220,0.1800,12.1300,0.1800,12.0862,0.0600,,,,,,,,,,,,
